,name,code,sector,series_id,units,year,value,source
53,"Distillate Fuel Oil Commercial Sector CO2 Emissions, Annual",DFCCEUS,Commercial,TOTAL.DFCCEUS.A,Million Metric Tons of Carbon Dioxide,2011,28.634,Distillate Fuel Oil
54,"Distillate Fuel Oil Commercial Sector CO2 Emissions, Annual",DFCCEUS,Commercial,TOTAL.DFCCEUS.A,Million Metric Tons of Carbon Dioxide,2010,28.615,Distillate Fuel Oil
55,"Distillate Fuel Oil Commercial Sector CO2 Emissions, Annual",DFCCEUS,Commercial,TOTAL.DFCCEUS.A,Million Metric Tons of Carbon Dioxide,2009,28.903,Distillate Fuel Oil
92,"Commercial Share of Electric Power Sector CO2 Emissions, Annual",ESCCEUS,Commercial,TOTAL.ESCCEUS.A,Million Metric Tons of Carbon Dioxide,2018,638.277,Electric Power
93,"Commercial Share of Electric Power Sector CO2 Emissions, Annual",ESCCEUS,Commercial,TOTAL.ESCCEUS.A,Million Metric Tons of Carbon Dioxide,2017,633.266,Electric Power
94,"Commercial Share of Electric Power Sector CO2 Emissions, Annual",ESCCEUS,Commercial,TOTAL.ESCCEUS.A,Million Metric Tons of Carbon Dioxide,2016,661.809,Electric Power
95,"Commercial Share of Electric Power Sector CO2 Emissions, Annual",ESCCEUS,Commercial,TOTAL.ESCCEUS.A,Million Metric Tons of Carbon Dioxide,2015,692.354,Electric Power
96,"Commercial Share of Electric Power Sector CO2 Emissions, Annual",ESCCEUS,Commercial,TOTAL.ESCCEUS.A,Million Metric Tons of Carbon Dioxide,2014,736.258,Electric Power
97,"Commercial Share of Electric Power Sector CO2 Emissions, Annual",ESCCEUS,Commercial,TOTAL.ESCCEUS.A,Million Metric Tons of Carbon Dioxide,2013,735.83,Electric Power
98,"Commercial Share of Electric Power Sector CO2 Emissions, Annual",ESCCEUS,Commercial,TOTAL.ESCCEUS.A,Million Metric Tons of Carbon Dioxide,2012,730.735,Electric Power
99,"Commercial Share of Electric Power Sector CO2 Emissions, Annual",ESCCEUS,Commercial,TOTAL.ESCCEUS.A,Million Metric Tons of Carbon Dioxide,2011,768.439,Electric Power
100,"Commercial Share of Electric Power Sector CO2 Emissions, Annual",ESCCEUS,Commercial,TOTAL.ESCCEUS.A,Million Metric Tons of Carbon Dioxide,2010,804.292,Electric Power
101,"Commercial Share of Electric Power Sector CO2 Emissions, Annual",ESCCEUS,Commercial,TOTAL.ESCCEUS.A,Million Metric Tons of Carbon Dioxide,2009,784.047,Electric Power
138,"HGL Commercial Sector CO2 Emissions, Annual",HLCCEUS,Commercial,TOTAL.HLCCEUS.A,Million Metric Tons of Carbon Dioxide,2018,11.018,HGL
139,"HGL Commercial Sector CO2 Emissions, Annual",HLCCEUS,Commercial,TOTAL.HLCCEUS.A,Million Metric Tons of Carbon Dioxide,2017,9.806,HGL
